text_id,sentence_index,removed_sentence,ppl_without_sentence,original_ppl,ppl_change
17,0,"For this instance, the model predicted to recidivate.",4.74,5.02,-0.27
17,1,Months_in_jail (Number of months spent in jail) is the most important feature and has a negative influence on the prediction.,6.2,5.02,1.19
17,2,Age (Age of the individual) is the second most important feature and has a positive influence on the prediction.,7.32,5.02,2.31
17,3,Black (Indicator if the individual is recorded as Black) is the third most important feature and has a positive influence on the prediction.,6.84,5.02,1.82
17,4,Recidivated (Indicator if the individual has recidivated before) is the 4th most important feature and has a negative influence on the prediction.,6.7,5.02,1.69
18,0,"For this instance, the model predicted not to recidivate.",4.89,4.98,-0.09
18,1,Months_in_jail (Number of months spent in jail) is the most important feature and has a negative influence on the prediction.,6.2,4.98,1.21
18,2,Age (Age of the individual) is the second most important feature and has a negative influence on the prediction.,7.14,4.98,2.16
18,3,Recidivated (Indicator if the individual has recidivated before) is the third most important feature and has a negative influence on the prediction.,6.89,4.98,1.91
18,4,Black (Indicator if the individual is recorded as Black) is the 4th most important feature and has a negative influence on the prediction.,6.25,4.98,1.27
19,0,"For this instance, the model predicted to recidivate.",4.67,5.05,-0.38
19,1,Age (Age of the individual) is the most important feature and has a positive influence on the prediction.,6.96,5.05,1.91
19,2,Number_of_prior_crimes (Number of prior crimes committed) is the second most important feature and has a positive influence on the prediction.,6.93,5.05,1.88
19,3,Recidivated (Indicator if the individual has recidivated before) is the third most important feature and has a positive influence on the prediction.,7.12,5.05,2.07
19,4,Black (Indicator if the individual is recorded as Black) is the 4th most important feature and has a positive influence on the prediction.,6.34,5.05,1.29
20,0,"For this instance, the model predicted to recidivate.",4.71,5.09,-0.38
20,1,Age (Age of the individual) is the most important feature and has a positive influence on the prediction.,7.01,5.09,1.92
20,2,Number_of_prior_crimes (Number of prior crimes committed) is the second most important feature and has a positive influence on the prediction.,6.96,5.09,1.88
20,3,Recidivated (Indicator if the individual has recidivated before) is the third most important feature and has a positive influence on the prediction.,7.16,5.09,2.08
20,4,Black (Indicator if the individual is recorded as Black) is the 4th most important feature and has a negative influence on the prediction.,6.34,5.09,1.25
21,0,"For this instance, the model predicted not to recidivate.",4.58,4.92,-0.34
21,1,Number_of_prior_crimes (Number of prior crimes committed) is the most important feature and has a negative influence on the prediction.,5.82,4.92,0.9
21,2,Age (Age of the individual) is the second most important feature and has a positive influence on the prediction.,7.46,4.92,2.54
21,3,Black (Indicator if the individual is recorded as Black) is the third most important feature and has a negative influence on the prediction.,6.6,4.92,1.69
21,4,Recidivated (Indicator if the individual has recidivated before) is the 4th most important feature and has a positive influence on the prediction.,6.5,4.92,1.58
22,0,"For this instance, the model predicted not to recidivate.",4.66,4.95,-0.29
22,1,Number_of_prior_crimes (Number of prior crimes committed) is the most important feature and has a positive influence on the prediction.,6.2,4.95,1.24
22,2,Age (Age of the individual) is the second most important feature and has a negative influence on the prediction.,7.42,4.95,2.47
22,3,Recidivated (Indicator if the individual has recidivated before) is the third most important feature and has a negative influence on the prediction.,6.77,4.95,1.82
22,4,Black (Indicator if the individual is recorded as Black) is the 4th most important feature and has a negative influence on the prediction.,6.1,4.95,1.14
23,0,"For this instance, the model predicted not to recidivate.",4.8,4.95,-0.15
23,1,Age (Age of the individual) is the most important feature and has a negative influence on the prediction.,6.89,4.95,1.94
23,2,Number_of_prior_crimes (Number of prior crimes committed) is the second most important feature and has a positive influence on the prediction.,6.68,4.95,1.73
23,3,Recidivated (Indicator if the individual has recidivated before) is the third most important feature and has a negative influence on the prediction.,6.92,4.95,1.97
23,4,Black (Indicator if the individual is recorded as Black) is the 4th most important feature and has a positive influence on the prediction.,6.12,4.95,1.17
24,0,"For this instance, the model predicted to recidivate.",4.89,5.21,-0.32
24,1,Number_of_prior_crimes (Number of prior crimes committed) is the most important feature and has a positive influence on the prediction.,7.13,5.21,1.92
24,2,Black (Indicator if the individual is recorded as Black) is the second most important feature and has a positive influence on the prediction.,7.07,5.21,1.86
24,3,Recidivated (Indicator if the individual has recidivated before) is the third most important feature and has a positive influence on the prediction.,7.28,5.21,2.07
24,4,Months_in_jail (Number of months spent in jail) is the 4th most important feature and has a positive influence on the prediction.,6.93,5.21,1.72
25,0,"For this instance, the model predicted not to recidivate.",4.96,4.87,0.09
25,1,Age (Age of the individual) is the most important feature and has a negative influence on the prediction.,7.16,4.87,2.29
25,2,Black (Indicator if the individual is recorded as Black) is the second most important feature and has a positive influence on the prediction.,6.75,4.87,1.88
25,3,Recidivated (Indicator if the individual has recidivated before) is the third most important feature and has a negative influence on the prediction.,6.93,4.87,2.06
25,4,Number_of_prior_crimes (Number of prior crimes committed) is the 4th most important feature and has a negative influence on the prediction.,5.97,4.87,1.1
26,0,"For this instance, the model predicted to recidivate.",4.78,5.21,-0.43
26,1,Number_of_prior_crimes (Number of prior crimes committed) is the most important feature and has a positive influence on the prediction.,7.01,5.21,1.79
26,2,Recidivated (Indicator if the individual has recidivated before) is the second most important feature and has a positive influence on the prediction.,7.15,5.21,1.94
26,3,Age (Age of the individual) is the third most important feature and has a negative influence on the prediction.,7.47,5.21,2.26
26,4,Black (Indicator if the individual is recorded as Black) is the 4th most important feature and has a positive influence on the prediction.,6.65,5.21,1.44
27,0,"For this instance, the model predicted not to recidivate.",4.89,5.24,-0.35
27,1,Number_of_prior_crimes (Number of prior crimes committed) is the most important feature and has a positive influence on the prediction.,6.92,5.24,1.69
27,2,Recidivated (Indicator if the individual has recidivated before) is the second most important feature and has a negative influence on the prediction.,7.15,5.24,1.91
27,3,Black (Indicator if the individual is recorded as Black) is the third most important feature and has a positive influence on the prediction.,6.97,5.24,1.73
27,4,Months_in_jail (Number of months spent in jail) is the 4th most important feature and has a negative influence on the prediction.,6.92,5.24,1.68
28,0,"For this instance, the model predicted not to recidivate.",4.96,5.17,-0.21
28,1,Number_of_prior_crimes (Number of prior crimes committed) is the most important feature and has a negative influence on the prediction.,6.73,5.17,1.56
28,2,Black (Indicator if the individual is recorded as Black) is the second most important feature and has a positive influence on the prediction.,7.12,5.17,1.94
28,3,Recidivated (Indicator if the individual has recidivated before) is the third most important feature and has a negative influence on the prediction.,7.24,5.17,2.07
28,4,Age (Age of the individual) is the 4th most important feature and has a negative influence on the prediction.,6.94,5.17,1.77
29,0,"For this instance, the model predicted not to recidivate.",4.98,5.31,-0.33
29,1,Number_of_prior_crimes (Number of prior crimes committed) is the most important feature and has a negative influence on the prediction.,6.94,5.31,1.63
29,2,Recidivated (Indicator if the individual has recidivated before) is the second most important feature and has a negative influence on the prediction.,7.34,5.31,2.03
29,3,Black (Indicator if the individual is recorded as Black) is the third most important feature and has a negative influence on the prediction.,7.04,5.31,1.72
29,4,Months_in_jail (Number of months spent in jail) is the 4th most important feature and has a positive influence on the prediction.,7.04,5.31,1.73
