text_id_shuff,num_sentences_shuff,last_sentence_shuff,ppl_shuff
17,1,Black (Indicator if the individual is recorded as Black) is the third most important feature and has a positive influence on the prediction.,58.62
17,2,Months_in_jail (Number of months spent in jail) is the most important feature and has a negative influence on the prediction.,15.03
17,3,Age (Age of the individual) is the second most important feature and has a positive influence on the prediction.,7.47
17,4,Recidivated (Indicator if the individual has recidivated before) is the 4th most important feature and has a negative influence on the prediction.,5.35
17,5,"For this instance, the model predicted to recidivate.",5.9
18,1,Recidivated (Indicator if the individual has recidivated before) is the third most important feature and has a negative influence on the prediction.,46.25
18,2,Months_in_jail (Number of months spent in jail) is the most important feature and has a negative influence on the prediction.,13.73
18,3,Age (Age of the individual) is the second most important feature and has a negative influence on the prediction.,7.19
18,4,Black (Indicator if the individual is recorded as Black) is the 4th most important feature and has a negative influence on the prediction.,5.39
18,5,"For this instance, the model predicted not to recidivate.",5.92
19,1,Recidivated (Indicator if the individual has recidivated before) is the third most important feature and has a positive influence on the prediction.,45.18
19,2,Age (Age of the individual) is the most important feature and has a positive influence on the prediction.,13.58
19,3,Number_of_prior_crimes (Number of prior crimes committed) is the second most important feature and has a positive influence on the prediction.,7.28
19,4,Black (Indicator if the individual is recorded as Black) is the 4th most important feature and has a positive influence on the prediction.,5.48
19,5,"For this instance, the model predicted to recidivate.",6.1
20,1,Recidivated (Indicator if the individual has recidivated before) is the third most important feature and has a positive influence on the prediction.,45.18
20,2,Age (Age of the individual) is the most important feature and has a positive influence on the prediction.,13.58
20,3,Number_of_prior_crimes (Number of prior crimes committed) is the second most important feature and has a positive influence on the prediction.,7.28
20,4,Black (Indicator if the individual is recorded as Black) is the 4th most important feature and has a negative influence on the prediction.,5.54
20,5,"For this instance, the model predicted to recidivate.",6.16
21,1,Black (Indicator if the individual is recorded as Black) is the third most important feature and has a negative influence on the prediction.,61.25
21,2,Number_of_prior_crimes (Number of prior crimes committed) is the most important feature and has a negative influence on the prediction.,15.41
21,3,Age (Age of the individual) is the second most important feature and has a positive influence on the prediction.,7.54
21,4,Recidivated (Indicator if the individual has recidivated before) is the 4th most important feature and has a positive influence on the prediction.,5.44
21,5,"For this instance, the model predicted not to recidivate.",5.92
22,1,Recidivated (Indicator if the individual has recidivated before) is the third most important feature and has a negative influence on the prediction.,46.25
22,2,Number_of_prior_crimes (Number of prior crimes committed) is the most important feature and has a positive influence on the prediction.,13.99
22,3,Age (Age of the individual) is the second most important feature and has a negative influence on the prediction.,7.28
22,4,Black (Indicator if the individual is recorded as Black) is the 4th most important feature and has a negative influence on the prediction.,5.49
22,5,"For this instance, the model predicted not to recidivate.",6.06
23,1,Recidivated (Indicator if the individual has recidivated before) is the third most important feature and has a negative influence on the prediction.,46.25
23,2,Age (Age of the individual) is the most important feature and has a negative influence on the prediction.,14.0
23,3,Number_of_prior_crimes (Number of prior crimes committed) is the second most important feature and has a positive influence on the prediction.,7.52
23,4,Black (Indicator if the individual is recorded as Black) is the 4th most important feature and has a positive influence on the prediction.,5.64
23,5,"For this instance, the model predicted not to recidivate.",6.19
24,1,Recidivated (Indicator if the individual has recidivated before) is the third most important feature and has a positive influence on the prediction.,45.18
24,2,Number_of_prior_crimes (Number of prior crimes committed) is the most important feature and has a positive influence on the prediction.,13.6
24,3,Black (Indicator if the individual is recorded as Black) is the second most important feature and has a positive influence on the prediction.,7.7
24,4,Months_in_jail (Number of months spent in jail) is the 4th most important feature and has a positive influence on the prediction.,5.48
24,5,"For this instance, the model predicted to recidivate.",6.04
25,1,Recidivated (Indicator if the individual has recidivated before) is the third most important feature and has a negative influence on the prediction.,46.25
25,2,Age (Age of the individual) is the most important feature and has a negative influence on the prediction.,14.0
25,3,Black (Indicator if the individual is recorded as Black) is the second most important feature and has a positive influence on the prediction.,7.51
25,4,Number_of_prior_crimes (Number of prior crimes committed) is the 4th most important feature and has a negative influence on the prediction.,5.63
25,5,"For this instance, the model predicted not to recidivate.",6.11
26,1,Age (Age of the individual) is the third most important feature and has a negative influence on the prediction.,28.35
26,2,Number_of_prior_crimes (Number of prior crimes committed) is the most important feature and has a positive influence on the prediction.,9.53
26,3,Recidivated (Indicator if the individual has recidivated before) is the second most important feature and has a positive influence on the prediction.,6.23
26,4,Black (Indicator if the individual is recorded as Black) is the 4th most important feature and has a positive influence on the prediction.,4.89
26,5,"For this instance, the model predicted to recidivate.",5.5
27,1,Black (Indicator if the individual is recorded as Black) is the third most important feature and has a positive influence on the prediction.,58.62
27,2,Number_of_prior_crimes (Number of prior crimes committed) is the most important feature and has a positive influence on the prediction.,14.85
27,3,Recidivated (Indicator if the individual has recidivated before) is the second most important feature and has a negative influence on the prediction.,7.72
27,4,Months_in_jail (Number of months spent in jail) is the 4th most important feature and has a negative influence on the prediction.,5.48
27,5,"For this instance, the model predicted not to recidivate.",5.95
28,1,Recidivated (Indicator if the individual has recidivated before) is the third most important feature and has a negative influence on the prediction.,46.25
28,2,Number_of_prior_crimes (Number of prior crimes committed) is the most important feature and has a negative influence on the prediction.,14.08
28,3,Black (Indicator if the individual is recorded as Black) is the second most important feature and has a positive influence on the prediction.,7.94
28,4,Age (Age of the individual) is the 4th most important feature and has a negative influence on the prediction.,5.54
28,5,"For this instance, the model predicted not to recidivate.",6.08
29,1,Black (Indicator if the individual is recorded as Black) is the third most important feature and has a negative influence on the prediction.,61.25
29,2,Number_of_prior_crimes (Number of prior crimes committed) is the most important feature and has a negative influence on the prediction.,15.41
29,3,Recidivated (Indicator if the individual has recidivated before) is the second most important feature and has a negative influence on the prediction.,7.85
29,4,Months_in_jail (Number of months spent in jail) is the 4th most important feature and has a positive influence on the prediction.,5.55
29,5,"For this instance, the model predicted not to recidivate.",5.96
