text_id_shuff,num_sentences_shuff,last_sentence_shuff,ppl_shuff
25,4,Bmi (Body Mass Index (kg/m^2)) is the 4th most important feature and has a positive influence on the prediction.,5.51
25,5,"For this instance, the model predicted not to have diabetes.",6.35
26,1,Age (Age of the patient) is the third most important feature and has a negative influence on the prediction.,30.6
26,2,Glucose (Plasma glucose concentration) is the most important feature and has a negative influence on the prediction.,9.84
26,3,Bmi (Body Mass Index (kg/m^2)) is the second most important feature and has a negative influence on the prediction.,5.41
26,4,Pregnancies (Number of pregnancies) is the 4th most important feature and has a negative influence on the prediction.,4.03
26,5,"For this instance, the model predicted not to have diabetes.",4.9
27,1,Bmi (Body Mass Index (kg/m^2)) is the third most important feature and has a positive influence on the prediction.,19.48
27,2,Glucose (Plasma glucose concentration) is the most important feature and has a positive influence on the prediction.,8.0
27,3,Age (Age of the patient) is the second most important feature and has a positive influence on the prediction.,4.66
27,4,Diabetespedigreefunction (Diabetes pedigree function) is the 4th most important feature and has a positive influence on the prediction.,3.67
27,5,"For this instance, the model predicted to have diabetes.",4.6
28,1,Pregnancies (Number of pregnancies) is the third most important feature and has a negative influence on the prediction.,28.97
28,2,Age (Age of the patient) is the most important feature and has a negative influence on the prediction.,9.22
28,3,Glucose (Plasma glucose concentration) is the second most important feature and has a negative influence on the prediction.,5.16
28,4,Bmi (Body Mass Index (kg/m^2)) is the 4th most important feature and has a positive influence on the prediction.,3.96
28,5,"For this instance, the model predicted not to have diabetes.",4.87
29,1,Diabetespedigreefunction (Diabetes pedigree function) is the third most important feature and has a positive influence on the prediction.,45.2
29,2,Age (Age of the patient) is the most important feature and has a positive influence on the prediction.,15.59
29,3,Bmi (Body Mass Index (kg/m^2)) is the second most important feature and has a positive influence on the prediction.,7.71
29,4,Glucose (Plasma glucose concentration) is the 4th most important feature and has a negative influence on the prediction.,5.39
29,5,"For this instance, the model predicted to have diabetes.",6.34
